Model,Pass Rate (%),Execution Time (s),BLEU Score,Syntax Success (%)
codegen,0.0,18.577411111111115,11.660430457786097,88.88888888888889
codet5,5.555555555555555,13.214336501227486,0.0008394553560498712,0.0
gemini,16.11111111111111,5.089541739887661,45.938441154806156,88.88888888888889
hybrid,11.11111111111111,89.93752143118117,46.56829018174835,88.88888888888889
